user_id,name,type,author,main_characters,rating,review_date,tags,story_summary,notes,is_public
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,师兄他会读心,BL小说,,,0,2024-01-01,{},,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,和影帝结婚后爆红全网,BL小说,,,0,2024-01-01,{刑侦},别被名字误导居然刑侦向！好像还可以。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,六州歌头,BL小说,,,6,2024-01-01,{古代},权谋，谢竟&陆令从，先婚后爱吧，现实和回忆穿插，好虐唏嘘，天家无心。买了实体书。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,牢头进阶指南,BL小说,,,0,2024-01-01,{},幽山幽冥地狱,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,意外坏了暗恋对象他哥的崽,BL小说,,,0,2024-01-01,{},如其名一般甜，没啥特别的印象。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,你男朋友归我了,BL小说,,,0,2024-01-01,{},电竞，久别重逢恋恋不忘,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,自己养的老婆最可爱,BL小说,,,0,2024-01-01,{娱乐圈},娱乐圈童星霸总，收养俩哥哥从来不对付哈哈哈俩对父母爸爸互怼，整体还是轻松的。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,进京赶考还分配老公吗,BL小说,长鼻子狗,赵宝珠&叶京华,0,2025-01-01,"{种田,古代}","种田,通篇看完对宝珠的猫儿眼很是喜欢。",都说眼睛是心灵的窗户，真的很喜欢眼睛好看的圆溜溜的人儿。天之骄子城府极深肱骨之臣攻，猫儿眼般的寒门学子一心只想报效朝廷受，比较甜朝堂这边不是很深，主要是攻才华横溢深得信任，基本没有被打压被陷害。最后还是有点子无语，太子居然也对宝珠有了强制占有，君臣二人相互的试探，可能在我看过的权谋中都是天家无心居多，皇帝老子对叶京华的好着实超过了我的预期，虽然是想为儿子的朝堂择贤，但太宽容让我一度以为叶京华是皇上的私生子。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,纸飞机,BL小说,潭石,汤君赫&杨煊,0,2025-01-01,"{骨科,破镜重圆}",真骨科，同父异母亲兄弟，是在真的get到骨科的爱到血液里这个设定后看的第一篇。,斯里兰卡的夏天永远炙热。5岁17岁27岁，各自成为彼此阴暗生活的一束光，50%是学生时代，比起破镜重圆我更愿意定义为久别重逢。两人都生长在阴暗面，却是对方为光亮，也为对方点亮一束光。再次被真骨科的血腥味触动，与生俱来，爱进骨髓。十七岁的生日愿望替你许下：希望哥哥杨煊每天都能比弟弟汤君赫过得更好一点。几十封出征前的遗书都是“名下所有财产赠与弟弟汤君赫，这不是爱是什么呢？致敬善良且自由。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,青竹,BL小说,寓风,姜竹&沈清越,0,2025-01-01,"{种田,穿越}",穿越种田，vv强推，我也很很很喜欢，,还好作者申明攻受，不然我也以为我们竹子是受。攻受对彼此都是因为爱你，所以我热爱这个世界，因为看到你我才看到其他人。原住民竹子，穿越者沈先生，群像也很喜欢，大哥大嫂一家的善良和对竹子的爱，四伯家的贪便宜和姜树的聪明。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,捡星星,BL小说,不问三九,秦放&刑炎,0,2025-01-01,"{现代,校园,甜文,虐文}",校园现代，说好的甜文为何虐我。,我可以说我喜欢这个作者，燎原三部曲我都很爱。三九的主角很细腻很温暖，是涓涓流水围着绕着，不分攻受，彼此的存在就是那样的恰如其分。我很喜欢秦放的捋一捋，不会在情绪最上头的时候去写答案，但只要他想清楚了认清了自己，那就是又猛又勇的快乐天使，所以从掰弯到使用那张卡，其实是很符合我对秦放的认识。小院里的四个孩子，其实都心疼，包括最嘴贱的周斯明，每次韩小功说他是跟在邢炎和周斯明屁股后长大，我都好难过，太多的故事和现实，让我可以猜到他经历的是什么。前面真的好甜，跟着去踩风去追自由，生日送的原石送的快乐，俩个人就是那样的水到渠成默契至极。后面的虐肝儿疼，你真的是玩家吗，原来一开始你计划的未来就没有我。太心疼星星了。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,狼行成双,BL小说,巫哲,边南&邱奕,0,2025-01-01,"{现代,校园,爽文,甜文,虐文}",轻校园现代，生活日常向，感觉比解药三伏好看些。,很巫哲的细水日常，和撒野一样没有特定的攻受，但技术上来说肯定是邱大宝更娴熟。边南是小三的儿子，被爸爸的家庭“接纳”，爸爸想弥补想平衡，能感受到他是爱边南的，但是不会和儿子相处，阿姨哥哥妹妹其实对他是怨恨的，但大家都只想追求家庭的平静，妹妹在知道自己喜欢的男生居然是同性恋而且还是边南的对象时，喊出来的小偷，很难受很心疼边南；邱奕从父母车祸后突然的成熟，要负担爸爸的医药费家庭开支自己和弟弟上学照顾他俩，纵然他知道自己是同性恋，但无法接受自己也觉得背叛了妈妈，因为父母是那样的希望他娶妻生子。攻受的两个朋友都好好，万飞傻不拉叽，申涛耿直仗义，最最最可爱的必须是二宝邱彦，可爱无敌聪慧过人特别懂事，他对方小军的友谊其实他是很机智情商很高。邱爸爸去世那里很难过，多么好的父亲呀，我想最后他是知晓儿子的性取向的，也是祝福他们的。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,南方海啸,BL小说,卡比丘,韦嘉易&赵竞,0,2025-01-01,"{现代,甜文}",现代文，小甜文，毕竟赵竞从小到大只吃过爱情的苦（其实并么有）,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,凶人恶煞,BL小说,年终,40%进度,0,2025-02-01,{},,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,已读不回,BL小说,一别都门三改火,宁知然&顾承锐,0,2025-04-01,"{穿越,现代}",现代文，穿越到未来发现我和前任结婚了，记忆点不深估计不是很爱。,,false
